id;id_client;first_name;last_name;email;adress;logged_in;password
1;40097;Guenièvre;Menard;Clarence.Nicolas@yahoo.fr;Dollar architecture multi-byte;true;compressing array
2;26179;Paule;Lopez;Sidoine_Marty@hotmail.fr;invoice Grocery;true;Handcrafted iterate PNG
3;2463;Bartimée;Julien;Florie_Noel@hotmail.fr;Jewelery c;false;quantify
4;27969;Rémi;Berger;Scholastique_Vidal@yahoo.fr;Customer-focused;false;Metal Wooden back-end
5;47019;Adenet;David;Joseph10@gmail.com;paradigms transitional Multi-layered;true;a approach hub
6;32891;Honorine;Fleury;Barbe_Martin@yahoo.fr;c Enhanced;true;Borders
7;89159;Jonas;Marchal;Rodolphe_Dumont@gmail.com;global;false;Kwanza
8;2654;Armandine;Nguyen;Brunehilde27@yahoo.fr;ubiquitous;true;Avon reboot
9;53007;Célestin;Brun;Armine_Girard@hotmail.fr;wireless COM Licensed;true;Rubber b Soap
10;9546;Aleth;Riviere;Adalbron.Pons47@hotmail.fr;SQL Fresh;true;magnetic invoice
